"","AREA","PERIMETER","GAGE_ID","no_snow","snow","percentageFire","fire_year","Incid_Name","burn_type","EPA_L1","data"
"218",27602700,23689.8,"10343500",0,1,0,NA,NA,"unburned","6",TRUE
"219",19138500,27120,"10348850",0.01,0.99,0,NA,NA,"unburned","6",TRUE
"221",52222500,53640,"10353600",0.37,0.63,99.68,2012,"HOLLOWAY","burned","10",FALSE
"223",34416900,32520,"10353750",0.19,0.81,36.37,2000,"MAHOGANY","burned","10",FALSE
"227",691764000,196440,"10384000",0.26,0.74,22.28,2018,"WATSON CREEK","burned","6",FALSE
"228",528894000,167820,"10396000",0.42,0.58,1.66,2011,"DESERT MEADOWS","unburned","10",TRUE
"230",51926400,41640,"11203580",0.79,0.21,0.04,2016,"SLATE","unburned","6",FALSE
"234",650169000,173100,"11226500",0.05,0.95,8.87,2018,"LIONS","burned","6",FALSE
"235",135530000,79320,"11230500",0.01,0.99,0,NA,NA,"unburned","6",TRUE
"236",59823900,51600,"11237500",0,1,0,NA,NA,"unburned","6",TRUE
"237",467976000,106311,"11264500",0.03,0.97,7.92,2001,"HOOVER COMPLEX (HOOVER)","burned","6",TRUE
"238",833082000,142522,"11266500",0.07,0.93,4.45,2001,"HOOVER COMPLEX (HOOVER)","unburned","6",TRUE
"239",775599000,205980,"11274790",0.06,0.94,0.61,2009,"WILDCAT","unburned","6",FALSE
"241",225216000,120420,"11281000",0.74,0.26,88.63,2013,"RIM","burned","6",FALSE
"242",187349000,137100,"11282000",0.37,0.63,68.12,2013,"RIM","burned","6",FALSE
"243",375679000,141420,"11283500",0.45,0.55,47.8,2013,"RIM","burned","6",FALSE
"244",174756000,93240,"11292500",0.01,0.99,34.06,2018,"DONNELL","burned","6",FALSE
"245",54010800,54360,"11315000",0,1,1.11,2004,"POWER","unburned","6",TRUE
"246",312809000,119880,"11355500",0.3,0.7,17.17,2012,"READING","burned","6",FALSE
"247",79666200,70200,"11364300",0.63,0.37,0,NA,NA,"unburned","6",FALSE
"249",337630000,227760,"11381500",0.69,0.31,2.31,2012,"MILL","unburned","6",TRUE
"250",539775000,169588,"11383500",0.61,0.39,15.28,2008,"CUB COMPLEX (CUB)","burned","6",TRUE
"251",59702400,65220,"11409300",0.89,0.11,0,NA,NA,"unburned","6",FALSE
"253",25522200,33900,"11427700",0,1,39.65,2001,"STAR","burned","6",TRUE
"254",30006000,41400,"11431800",0.49,0.51,44.57,2014,"KING","burned","6",TRUE
"255",229716000,89940,"11433260",0.67,0.33,48.5,2013,"AMERICAN","burned","6",FALSE
"256",418776000,142560,"11472900",0.81,0.19,16.05,2006,"HUNTER","burned","6",FALSE
"257",1925010000,352380,"11473900",0.86,0.14,9.51,2008,"YOLLA BOLLY COMPLEX (IRON)","burned","6",TRUE
"260",1943120000,295920,"11522500",0.69,0.31,11.23,2017,"ISLAND","burned","6",TRUE
"261",382936000,141720,"11523200",0.21,0.79,0,NA,NA,"unburned","6",TRUE
"262",58232700,61500,"11525530",0.81,0.19,0,NA,NA,"unburned","6",FALSE
"263",391934000,124320,"11526500",0.62,0.38,55.08,2006,"PIGEON","burned","6",FALSE
"264",190119000,86640,"12039300",0.33,0.67,0,NA,NA,"unburned","7",FALSE
"265",655797000,198600,"12041200",0.71,0.29,0,NA,NA,"unburned","7",TRUE
"267",513396000,151800,"12044900",0.33,0.67,2.11,2016,"HAYES TWO","unburned","6",FALSE
"268",405006000,136620,"12048000",0.49,0.51,0,NA,NA,"unburned","6",TRUE
"269",171675000,101820,"12054000",0.42,0.58,3.19,2011,"BIG HUMP","unburned","7",TRUE
"270",146971000,84014.5,"12056500",0.43,0.57,0,NA,NA,"unburned","7",TRUE
"271",198272000,116400,"12060500",0.88,0.12,0,NA,NA,"unburned","7",TRUE
"272",349998000,131340,"12082500",0.5,0.5,0,NA,NA,"unburned","6",TRUE
"273",198787000,92640,"12083000",0.84,0.16,0,NA,NA,"unburned","6",FALSE
"274",240881000,92220,"12092000",0.37,0.63,0,NA,NA,"unburned","6",TRUE
"275",205224000,107820,"12094000",0.52,0.48,0,NA,NA,"unburned","6",TRUE
"276",1142820000,220920,"12096500",0.76,0.24,0,NA,NA,"unburned","6",FALSE
"278",190191000,95820,"12097500",0.49,0.51,32.83,2017,"NORSE PEAK","burned","6",TRUE
"279",970373000,196500,"12097850",0.48,0.52,9.2,2017,"NORSE PEAK","burned","6",TRUE
"283",66555900,47760,"12114500",0.24,0.76,0,NA,NA,"unburned","6",TRUE
"284",102798000,45988.7,"12115000",0.32,0.68,0,NA,NA,"unburned","6",TRUE
